sa2_type,day,hour,timestamp,day_num,week,pop
Recreational,Fri,122,2020-04-17T02:00:00Z,5,pop_2019,72969
Recreational,Fri,123,2020-04-17T03:00:00Z,5,pop_2019,72984.75
Recreational,Fri,124,2020-04-17T04:00:00Z,5,pop_2019,73002
Recreational,Fri,125,2020-04-17T05:00:00Z,5,pop_2019,72974.25
Recreational,Fri,126,2020-04-17T06:00:00Z,5,pop_2019,72988.75
Recreational,Fri,127,2020-04-17T07:00:00Z,5,pop_2019,72769.5
Recreational,Fri,128,2020-04-17T08:00:00Z,5,pop_2019,72583.5
Recreational,Fri,129,2020-04-17T09:00:00Z,5,pop_2019,72700.25
Recreational,Fri,130,2020-04-17T10:00:00Z,5,pop_2019,73421.5
Recreational,Fri,131,2020-04-17T11:00:00Z,5,pop_2019,74306.5
Recreational,Fri,132,2020-04-17T12:00:00Z,5,pop_2019,75635.5
Recreational,Fri,133,2020-04-17T13:00:00Z,5,pop_2019,77218
Recreational,Fri,134,2020-04-17T14:00:00Z,5,pop_2019,78569.25
Recreational,Fri,135,2020-04-17T15:00:00Z,5,pop_2019,79953.5
Recreational,Fri,136,2020-04-17T16:00:00Z,5,pop_2019,81493
Recreational,Fri,137,2020-04-17T17:00:00Z,5,pop_2019,83155.25
Recreational,Fri,138,2020-04-17T18:00:00Z,5,pop_2019,84808
Recreational,Fri,139,2020-04-17T19:00:00Z,5,pop_2019,86607.25
Recreational,Fri,140,2020-04-17T20:00:00Z,5,pop_2019,87909.75
Recreational,Fri,141,2020-04-17T21:00:00Z,5,pop_2019,89169.75
Recreational,Fri,142,2020-04-17T22:00:00Z,5,pop_2019,89768.75
Recreational,Fri,143,2020-04-17T23:00:00Z,5,pop_2019,90132
Recreational,Sat,144,2020-04-18T00:00:00Z,6,pop_2019,93350.5
Recreational,Sat,145,2020-04-18T01:00:00Z,6,pop_2019,93406.25
Recreational,Sat,146,2020-04-18T02:00:00Z,6,pop_2019,93412
Recreational,Sat,147,2020-04-18T03:00:00Z,6,pop_2019,93429
Recreational,Sat,148,2020-04-18T04:00:00Z,6,pop_2019,93513.75
Recreational,Sat,149,2020-04-18T05:00:00Z,6,pop_2019,93577.5
Recreational,Sat,150,2020-04-18T06:00:00Z,6,pop_2019,93665.5
Recreational,Sat,151,2020-04-18T07:00:00Z,6,pop_2019,93735.25
Recreational,Sat,152,2020-04-18T08:00:00Z,6,pop_2019,93942.75
Recreational,Sat,153,2020-04-18T09:00:00Z,6,pop_2019,94053.5
Recreational,Sat,154,2020-04-18T10:00:00Z,6,pop_2019,94284
Recreational,Sat,155,2020-04-18T11:00:00Z,6,pop_2019,95248
Recreational,Sat,156,2020-04-18T12:00:00Z,6,pop_2019,96993
Recreational,Sat,157,2020-04-18T13:00:00Z,6,pop_2019,98926.25
Recreational,Sat,158,2020-04-18T14:00:00Z,6,pop_2019,100604.5
Recreational,Sat,159,2020-04-18T15:00:00Z,6,pop_2019,101452
Recreational,Sat,160,2020-04-18T16:00:00Z,6,pop_2019,101926.25
Recreational,Sat,161,2020-04-18T17:00:00Z,6,pop_2019,101753
Recreational,Sat,162,2020-04-18T18:00:00Z,6,pop_2019,101585.5
Recreational,Sat,163,2020-04-18T19:00:00Z,6,pop_2019,101678.5
Recreational,Sat,164,2020-04-18T20:00:00Z,6,pop_2019,101747
Recreational,Sat,165,2020-04-18T21:00:00Z,6,pop_2019,101820.25
Recreational,Sat,166,2020-04-18T22:00:00Z,6,pop_2019,101794.5
Recreational,Sat,167,2020-04-18T23:00:00Z,6,pop_2019,101661
Recreational,Sun,168,2020-04-19T00:00:00Z,7,pop_2019,101801.25
Recreational,Sun,169,2020-04-19T01:00:00Z,7,pop_2019,101735.25
Recreational,Sun,170,2020-04-19T02:00:00Z,7,pop_2019,101700.5
Recreational,Sun,171,2020-04-19T03:00:00Z,7,pop_2019,101718.25
Recreational,Sun,172,2020-04-19T04:00:00Z,7,pop_2019,101675.75
Recreational,Sun,173,2020-04-19T05:00:00Z,7,pop_2019,101723
Recreational,Sun,174,2020-04-19T06:00:00Z,7,pop_2019,101738
Recreational,Sun,175,2020-04-19T07:00:00Z,7,pop_2019,101643.75
Recreational,Sun,176,2020-04-19T08:00:00Z,7,pop_2019,101633.25
Recreational,Sun,177,2020-04-19T09:00:00Z,7,pop_2019,101122.5
Recreational,Sun,178,2020-04-19T10:00:00Z,7,pop_2019,100215.25
Recreational,Sun,179,2020-04-19T11:00:00Z,7,pop_2019,99165.5
Recreational,Sun,180,2020-04-19T12:00:00Z,7,pop_2019,97924.25
Recreational,Sun,181,2020-04-19T13:00:00Z,7,pop_2019,96994.5
Recreational,Sun,182,2020-04-19T14:00:00Z,7,pop_2019,95658.5
Recreational,Sun,183,2020-04-19T15:00:00Z,7,pop_2019,93341.5
Recreational,Sun,184,2020-04-19T16:00:00Z,7,pop_2019,91179.25
Recreational,Sun,185,2020-04-19T17:00:00Z,7,pop_2019,88984.5
Recreational,Sun,186,2020-04-19T18:00:00Z,7,pop_2019,87721.75
Recreational,Sun,187,2020-04-19T19:00:00Z,7,pop_2019,86966
