days,regc2018_name,mobility
2020-04-01,Manawatu-Wanganui Region,-55.04
2020-04-01,Marlborough Region,-46.91
2020-04-01,Nelson Region,-65.05
2020-04-01,Northland Region,-46.18
2020-04-01,Otago Region,-63.05
2020-04-01,Southland Region,-60.79
2020-04-01,Taranaki Region,-64.33
2020-04-01,Tasman Region,-56.21
2020-04-01,Waikato Region,-59.21
2020-04-01,Wellington Region,-70.29
2020-04-01,West Coast Region,-54.04
2020-04-02,Auckland Region,-66.01
2020-04-02,Bay of Plenty Region,-61.01
2020-04-02,Canterbury Region,-62.6
2020-04-02,Gisborne Region,-47.2
2020-04-02,Hawke's Bay Region,-53.55
2020-04-02,Manawatu-Wanganui Region,-54.05
2020-04-02,Marlborough Region,-45.39
2020-04-02,Nelson Region,-62.88
2020-04-02,Northland Region,-44.17
2020-04-02,Otago Region,-60.46
2020-04-02,Southland Region,-59.78
2020-04-02,Taranaki Region,-63.88
2020-04-02,Tasman Region,-57.26
2020-04-02,Waikato Region,-59.36
2020-04-02,Wellington Region,-70.17
2020-04-02,West Coast Region,-47.92
2020-04-03,Auckland Region,-63.77
2020-04-03,Bay of Plenty Region,-57.96
2020-04-03,Canterbury Region,-60.85
2020-04-03,Gisborne Region,-42.17
2020-04-03,Hawke's Bay Region,-54.7
2020-04-03,Manawatu-Wanganui Region,-52.5
2020-04-03,Marlborough Region,-43.71
2020-04-03,Nelson Region,-58.61
2020-04-03,Northland Region,-43.71
2020-04-03,Otago Region,-60.16
2020-04-03,Southland Region,-57.67
2020-04-03,Taranaki Region,-63.55
2020-04-03,Tasman Region,-55.27
2020-04-03,Waikato Region,-58.42
2020-04-03,Wellington Region,-67.88
2020-04-03,West Coast Region,-49.44
2020-04-04,Auckland Region,-53.78
2020-04-04,Bay of Plenty Region,-53.11
2020-04-04,Canterbury Region,-55.14
2020-04-04,Gisborne Region,-41.03
2020-04-04,Hawke's Bay Region,-50.33
2020-04-04,Manawatu-Wanganui Region,-46.17
2020-04-04,Marlborough Region,-42.57
2020-04-04,Nelson Region,-56.61
2020-04-04,Northland Region,-38.01
2020-04-04,Otago Region,-58.05
2020-04-04,Southland Region,-55.97
2020-04-04,Taranaki Region,-56.62
2020-04-04,Tasman Region,-46.8
2020-04-04,Waikato Region,-52.59
2020-04-04,Wellington Region,-54.45
2020-04-04,West Coast Region,-51.07
2020-04-05,Auckland Region,-51.24
2020-04-05,Bay of Plenty Region,-49.61
2020-04-05,Canterbury Region,-50.56
2020-04-05,Gisborne Region,-33.51
