timestamp,segment,pop,days
2020-05-02T12:00:00Z,local,4702185,2020-05-02
2020-05-02T12:00:00Z,unknown,53673,2020-05-02
2020-05-03T12:00:00Z,domestic,176823,2020-05-03
2020-05-03T12:00:00Z,international,134115,2020-05-03
2020-05-03T12:00:00Z,local,4734672,2020-05-03
2020-05-03T12:00:00Z,unknown,47568,2020-05-03
2020-05-04T12:00:00Z,domestic,214389,2020-05-04
2020-05-04T12:00:00Z,international,133236,2020-05-04
2020-05-04T12:00:00Z,local,4692396,2020-05-04
2020-05-04T12:00:00Z,unknown,50892,2020-05-04
2020-05-05T12:00:00Z,domestic,209169,2020-05-05
2020-05-05T12:00:00Z,international,132963,2020-05-05
2020-05-05T12:00:00Z,local,4696557,2020-05-05
2020-05-05T12:00:00Z,unknown,51759,2020-05-05
2020-05-06T12:00:00Z,domestic,212820,2020-05-06
2020-05-06T12:00:00Z,international,132714,2020-05-06
2020-05-06T12:00:00Z,local,4669719,2020-05-06
2020-05-06T12:00:00Z,unknown,77352,2020-05-06
2020-05-07T12:00:00Z,domestic,213315,2020-05-07
2020-05-07T12:00:00Z,international,132777,2020-05-07
2020-05-07T12:00:00Z,local,4625088,2020-05-07
2020-05-07T12:00:00Z,unknown,122793,2020-05-07
2020-05-08T12:00:00Z,domestic,210552,2020-05-08
2020-05-08T12:00:00Z,international,132378,2020-05-08
2020-05-08T12:00:00Z,local,4641645,2020-05-08
2020-05-08T12:00:00Z,unknown,109272,2020-05-08
2020-05-09T12:00:00Z,domestic,197799,2020-05-09
2020-05-09T12:00:00Z,international,132528,2020-05-09
2020-05-09T12:00:00Z,local,4644852,2020-05-09
2020-05-09T12:00:00Z,unknown,119628,2020-05-09
2020-05-10T12:00:00Z,domestic,184545,2020-05-10
2020-05-10T12:00:00Z,international,132117,2020-05-10
2020-05-10T12:00:00Z,local,4731321,2020-05-10
2020-05-10T12:00:00Z,unknown,43338,2020-05-10
2020-05-11T12:00:00Z,domestic,198444,2020-05-11
2020-05-11T12:00:00Z,international,131949,2020-05-11
2020-05-11T12:00:00Z,local,4715409,2020-05-11
2020-05-11T12:00:00Z,unknown,42927,2020-05-11
