sa2_type,timestamp,pop_scaled
Recreational,2020-03-23T00:00:00Z,-0.2398590716467223
Recreational,2020-03-23T01:00:00Z,-0.2362003974358612
Recreational,2020-03-23T02:00:00Z,-0.23515506194704375
Recreational,2020-03-23T03:00:00Z,-0.24090440713553976
Recreational,2020-03-23T04:00:00Z,-0.21581635540392075
Recreational,2020-03-23T05:00:00Z,-0.2649471233783413
Recreational,2020-03-23T06:00:00Z,-0.34439262052846814
Recreational,2020-03-23T07:00:00Z,-0.348573962483738
Recreational,2020-03-23T08:00:00Z,-0.4175661047456902
Recreational,2020-03-23T09:00:00Z,-0.43742747903322193
Recreational,2020-03-23T10:00:00Z,-0.45363017910989256
Recreational,2020-03-23T11:00:00Z,-0.6119985056657375
Recreational,2020-03-23T12:00:00Z,-0.7651401547774952
Recreational,2020-03-23T13:00:00Z,-0.7954548839532015
Recreational,2020-03-23T14:00:00Z,-0.8597430165154752
Recreational,2020-03-23T15:00:00Z,-1.0431993948029392
Recreational,2020-03-23T16:00:00Z,-1.093898166010586
Recreational,2020-03-23T17:00:00Z,-0.9982499687837885
Recreational,2020-03-23T18:00:00Z,-0.9083511167454871
Recreational,2020-03-23T19:00:00Z,-0.7923188774867491
Recreational,2020-03-23T20:00:00Z,-0.7248947384580231
Recreational,2020-03-23T21:00:00Z,-0.7891828710202967
Recreational,2020-03-23T22:00:00Z,-0.902601771556991
Recreational,2020-03-23T23:00:00Z,-0.9977273010393797
Recreational,2020-03-24T00:00:00Z,-0.9590498879531337
Recreational,2020-03-24T01:00:00Z,-0.9919779558508837
Recreational,2020-03-24T02:00:00Z,-0.9407565168988282
Recreational,2020-03-24T03:00:00Z,-0.9580045524643163
Recreational,2020-03-24T04:00:00Z,-0.9574818847199076
Recreational,2020-03-24T05:00:00Z,-0.9815246009627091
Recreational,2020-03-24T06:00:00Z,-1.0855354821000462
Recreational,2020-03-24T07:00:00Z,-0.9444151911096893
Recreational,2020-03-24T08:00:00Z,-0.7975455549308365
Recreational,2020-03-24T09:00:00Z,-0.8278602841065427
Recreational,2020-03-24T10:00:00Z,-0.9533005427646377
Recreational,2020-03-24T11:00:00Z,-1.0756047949562804
Recreational,2020-03-24T12:00:00Z,-1.2031357245920102
Recreational,2020-03-24T13:00:00Z,-1.2580158377549269
Recreational,2020-03-24T14:00:00Z,-1.1932050374482446
Recreational,2020-03-24T15:00:00Z,-1.1064421918763954
Recreational,2020-03-24T16:00:00Z,-0.9935459590841099
Recreational,2020-03-24T17:00:00Z,-0.8654923617039713
Recreational,2020-03-24T18:00:00Z,-0.752073461167277
Recreational,2020-03-24T19:00:00Z,-0.7264627416912492
Recreational,2020-03-24T20:00:00Z,-0.7562548031225468
Recreational,2020-03-24T21:00:00Z,-0.840926977716761
Recreational,2020-03-24T22:00:00Z,-0.9052151102790347
Recreational,2020-03-24T23:00:00Z,-0.983615271940344
Recreational,2020-03-25T00:00:00Z,-0.8958070908796775
